date,Onions
2018-02,35.27571428571429
2018-03,26.460535714285715
2018-04,20.070181818181812
2018-05,17.804285714285715
2018-06,18.74803571428572
2018-07,22.379454545454543
2018-08,22.939642857142854
2018-09,21.76553571428571
2018-10,22.151454545454545
2018-11,22.60944444444445
2018-12,20.115
2019-01,19.052857142857142
2019-02,16.535
2019-03,16.1175
2019-04,16.7225
2019-05,18.025
2019-06,22.3625
2019-07,22.05648148148148
2019-08,25.390185185185185
2019-09,39.56481481481482
2019-10,47.42629629629629
2019-11,60.86314814814815
2019-12,95.17685185185184
2020-01,60.75567567567568
